"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"Eastern Europe and Central Asia",1996,31852787,16402208,100,100,7.71043981116781,3.52743818645371,4.19780913696319,24592,11592,13000
"Western Europe",1996,30476583,14697853,99.99,99.99,3.17902907511747,1.44925284607524,1.73228675054574,9733,4263,5470
"West and Central Africa",1996,27919320,15278691,100,100,34.4607560630587,15.1955126844647,19.562505681822,96735,46788,49947
"World",1996,506133777,257484765,100,100,14.1782443533548,6.55997143170755,7.66857857804109,721753,338933,382820
"South Asia",1997,123281668,65380101,100,100,22.0278188947205,9.55248930299754,12.5956493978602,272297,125511,146786
"Sub-Saharan Africa",1997,61079104,33459531,100,100,39.9407386453672,16.657553744273,23.6775957244087,244765,112404,132361
"Europe and Central Asia",1997,62319142,31194881,100,100,5.48535361367308,2.52070642021012,2.9721390835327,34273,15748,18525
"Middle East and North Africa",1997,29689511,16242494,100,100,7.10441702419595,3.46420752695808,3.65286377542363,21122,11276,9846
"Latin America and Caribbean",1997,47888999,25035911,100,100,7.20338442215074,3.30895534190325,3.9073583545475,34488,16596,17892
"East Asia and Pacific",1997,166714707,81542495,100,100,6.27354965912075,3.18656352684157,3.09685445573585,104879,52052,52827
"North America",1997,20191329,10333324,100,100,4.50054160654789,2.11952752855405,2.38607142205804,9094,4385,4709
"Eastern and Southern Africa",1997,32386963,17763399,100,100,45.4446942787077,18.3242046059122,27.6267274797257,147635,65701,81934
"Eastern Europe and Central Asia",1997,32159694,16547503,100,100,7.7332898845025,3.48718544560218,4.26096320778272,24895,11562,13333
"Western Europe",1997,30159448,14647378,99.99,99.99,3.09848764006226,1.42765499054115,1.67322143244954,9379,4186,5193
"West and Central Africa",1997,28692141,15696132,100,100,33.6991875135181,14.7680110051958,19.2149429979807,97130,46703,50427
"World",1997,511164460,263188737,100,100,14.0428090591125,6.40007813577222,7.69196006879782,720919,337974,382945
"South Asia",1998,126107256,67063528,100,100,21.1764508475119,9.02571071756983,12.2614080520095,267295,121610,145685
"Sub-Saharan Africa",1998,62948098,34521115,100,100,39.4314100369537,16.3108912765751,23.5038881241485,248762,113542,135220
"Europe and Central Asia",1998,62434779,31374278,100,100,5.45300789248548,2.51139854688424,2.94901549883981,34126,15779,18347
"Middle East and North Africa",1998,30816785,16847476,100,100,6.89000672315909,3.33972202325053,3.5621813955662,21247,11273,9974
"Latin America and Caribbean",1998,48554008,25366844,100,100,7.25790959979167,3.34404737724479,3.92699427746092,35241,16995,18246
"East Asia and Pacific",1998,165283317,83348203,100,100,6.12593389467964,3.05783121259273,3.07751319800086,101556,51052,50504
