iso3,g.whoregion,year,sex,age_group,mort.nh.nr.num,mort.nh.nr.lo.num,mort.nh.nr.hi.num,mort.nh.re.num,mort.nh.re.lo.num,mort.nh.re.hi.num
GMB,AFR,2011,M,15_19,1.80387978016704,0,22.9722962981509,18.2497804126724,6.76363226359696,29.7359285617479
GMB,AFR,2011,M,20_24,2.55571240251579,0,27.3436574152555,30.583360011646,16.9115313040183,44.2551887192737
GMB,AFR,2011,M,5_9,0.526092514929716,0,12.4059971011479,4.08771344306711,0,12.4059971011479
GMB,AFR,2012,F,0_4,1.78465570213799,0,20.6881536327765,16.7958653911311,6.45178857474282,27.1399422075193
GMB,AFR,2012,F,10_14,0.146272419131267,0,5.92278179384914,1.28492927199799,0,5.92278179384914
GMB,AFR,2012,F,15_19,0.689477063350287,0,12.8589178645835,8.07332033553013,1.64386140323839,14.5027792678219
GMB,AFR,2012,F,20_24,1.07041324959558,0,16.0221299116393,13.4102837782625,5.39921882244284,21.4213487340822
GMB,AFR,2012,F,5_9,0.563246757953641,0,11.6223476234847,4.95313257581641,0,11.6223476234847
GMB,AFR,2012,M,0_4,2.23408771037677,0,23.1469951408109,20.1267657256698,8.55326815526439,31.7002632960753
GMB,AFR,2012,M,10_14,0.170542241792655,0,6.39529370713876,1.25976570828776,0,6.39529370713876
GMB,AFR,2012,M,15_19,2.15541598660576,0,22.735790592572,21.8062583137455,10.4383630174596,33.1741536100315
GMB,AFR,2012,M,20_24,3.05376413113242,0,27.0621474213841,36.5433793413314,23.0123056306394,50.0744530520235
GMB,AFR,2012,M,5_9,0.628616291163336,0,12.2782741665428,4.88431823487475,0,12.2782741665428
GMB,AFR,2013,F,0_4,1.97392832282256,0,23.5672657806115,18.5771599317701,6.79352704146436,30.3607928220758
GMB,AFR,2013,F,10_14,0.161785419240857,0,6.74703867604044,1.42120313726279,0,6.74703867604044
GMB,AFR,2013,F,15_19,0.762599924261709,0,14.6484572932389,8.92954066735731,1.60531202073786,16.2537693139768
GMB,AFR,2013,F,20_24,1.18393650269349,0,18.251884663156,14.8325186394249,5.70657630784692,23.958460971003
GMB,AFR,2013,F,5_9,0.622982195910811,0,13.2397970500068,5.47843971604986,0,13.2397970500068
GMB,AFR,2013,M,0_4,2.471025084502,0,26.3682973448994,22.2613206933932,9.07717202094344,35.4454693658429
GMB,AFR,2013,M,10_14,0.188629191002437,0,7.28530874318452,1.39337083826458,0,7.28530874318452
GMB,AFR,2013,M,15_19,2.38400978873889,0,25.8998666163501,24.1189327715058,11.1689994633307,37.0688660796808
GMB,AFR,2013,M,20_24,3.37763272906957,0,30.8283103555169,40.4190070986027,25.0048519208442,55.8331622763611
GMB,AFR,2013,M,5_9,0.695284530135684,0,13.9870070450214,5.40232723315562,0,13.9870070450214
GMB,AFR,2014,F,0_4,1.64869154078104,0,19.926615776764,15.5162708175909,5.55296292920888,25.4795787059728
GMB,AFR,2014,F,10_14,0.135128641217683,0,5.70476221467451,1.18703681539975,0,5.70476221467451
GMB,AFR,2014,F,15_19,0.636949188880733,0,12.3855767963056,7.4582536717274,1.26546527357463,13.6510420698802
GMB,AFR,2014,F,20_24,0.988863716196906,0,15.4323499497227,12.3886200561078,4.67244508124643,20.1047950309691
GMB,AFR,2014,F,5_9,0.520335751090834,0,11.1945251194504,4.57577770791033,0,11.1945251194504
GMB,AFR,2014,M,0_4,2.0638835294945,0,22.2949465063335,18.5934061990403,7.44593294587353,29.740879452207
GMB,AFR,2014,M,10_14,0.157549465172776,0,6.15988080636695,1.16379034014109,0,6.15988080636695
GMB,AFR,2014,M,15_19,1.99120541834705,0,21.8988785350752,20.1449464874299,9.19550721989236,31.0943857549675
GMB,AFR,2014,M,20_24,2.82111282557585,0,26.0659807217263,33.7593185730954,20.7263282122323,46.7923089339586
GMB,AFR,2014,M,5_9,0.580725100307333,0,11.826306787032,4.51220599396068,0,11.826306787032
GMB,AFR,2015,F,0_4,1.81060103834912,0,21.7599385994685,17.0400437914764,6.16007449174216,27.9200130912107
