"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","OCDresid"
"NPL",2021,"Male",0.0670985464260222,0.0681965038526586,0.0502267740285868,0.0339890182066734,0.0617806786842149,0.102034276041417,0.0201037935438954,0.130726787040982,0.139476022562819,0.0906986768046658,0,15,19,1658,5.10489656870713,1658,5.10489656870713,0.230535090336006,0,4492.92802892672,0.000313175426645768,0,0,6.98401414159401e-05,0.00475081690399924,46.2582,33.4935506165341
"NRU",2000,"Male",0.0470371501900854,0.0739182038475398,0.0572570903713247,0.130909057576355,0.0709755834481061,0.122358003327208,0.0824289903730733,0.146481035326548,0.157275117479796,0.101920238158906,0,15,19,1,8.61557013362793,1,8.61557013362793,0.00943952990105837,0,0.039340589941592,0,0,0,0,0,0.0279,0.0824289903730733
"NRU",2001,"Male",0.0471329974219133,0.0739819159668091,0.0572279829053749,0.130697482929528,0.0709716061230266,0.122263279335595,0.0847543531643858,0.146795140249252,0.157234198258457,0.101861396219865,0,15,19,1,8.50835778215843,1,8.50835778215843,0.00707964742579378,0,0.029505442787776,0,0,0,0,0,0.0279,0.0847543531643858
"NRU",2002,"Male",0.0472352636317132,0.0740597453005157,0.0571995913116735,0.130324817266341,0.0709710210985062,0.122159875844034,0.0800957473868529,0.147151026583994,0.157199856615704,0.101803642584342,0,15,19,1,8.41203725881198,1,8.41203725881198,0.011799412376323,0,0.0491757366857644,0,0,0,0,0,0.0279,0.0800957473868529
"NRU",2003,"Male",0.0472935426210112,0.0741672744603661,0.0571854547049298,0.129905327818155,0.0709906844170672,0.122080149955469,0.0847382546374111,0.147581295523223,0.157207468222326,0.101770900214248,0,15,19,1,8.31424242195761,1,8.31424242195761,0.00707964742579377,0,0.0295054427558762,0,0,0,0,0,0.0279,0.0847382546374111
"NRU",2004,"Male",0.0473348113500177,0.0742574117609074,0.0571726579687366,0.129540218186058,0.0710064724462747,0.122010648268716,0.0790758716726786,0.147950387279089,0.157210869647467,0.101742940708121,0,15,19,1,8.23139519650505,1,8.23139519650505,0.012697710711934,0,0.0529195229499202,0,0,0,0,0,0.0279,0.0790758716726786
"NRU",2005,"Male",0.0473373175708976,0.0743002429291481,0.0571742007814716,0.129399826414634,0.0710218975774113,0.122000294183805,0.0656942777734779,0.148136378051161,0.15722789122249,0.101748966267592,0,15,19,1,8.17455123401483,1,8.17455123401483,0.0259587072279105,0,0.10818661042749,0,0,0,0,0,0.0279,0.0656942777734779
"NRU",2006,"Male",0.0472544248630802,0.0743496676562324,0.0571997666518179,0.129461786062702,0.0710609608631384,0.122054029204459,0.0628939061026102,0.14830642914709,0.157299849954647,0.101800589791048,0,15,19,1,8.1363668782171,1,8.1363668782171,0.0283185897031751,0,0.118021754894265,0,0,0,0,0,0.0279,0.0628939061026102
"NRU",2007,"Male",0.0472975658242911,0.074263750951215,0.0571842896917644,0.129618644656555,0.0710261967754168,0.122053675730897,0.0843677797624727,0.148089026415866,0.157231109784215,0.101788312981513,0,15,19,1,8.11649275894226,1,8.11649275894226,0.00707964742579377,0,0.029505442735057,0,0,0,0,0,0.0279,0.0843677797624727
"NRU",2008,"Male",0.047224279541403,0.0741830604356423,0.0572172934554943,0.130049126745817,0.0710359139709029,0.122183106422029,0.0793566625447586,0.147808998537243,0.157271048450424,0.101871097519963,0,15,19,1,8.12780490544936,1,8.12780490544936,0.011799412376323,0,0.0491757365978846,0,0,0,0,0,0.0279,0.0793566625447586
"NRU",2009,"Male",0.0471079396408554,0.0741068780133943,0.0572789704724602,0.13059055576769,0.0710721820276222,0.122388772899308,0.0811300628555633,0.147498481544446,0.157375937953152,0.10201068892445,0,15,19,1,8.08962046443188,1,8.08962046443188,0.00943952990105836,0,0.0393405898456542,0,0,0,0,0,0.0279,0.0811300628555633
"NRU",2010,"Male",0.0469590262634205,0.0740524851316683,0.0573686440413926,0.131152841672496,0.071138951517228,0.12266074922939,0.0826158183326202,0.147216942271406,0.157550740489916,0.102204153624669,0,15,19,1,8.03119336534049,1,8.03119336534049,0.00707964742579377,0,0.0295054427585784,0,0,0,0,0,0.0279,0.0826158183326202
"NRU",2011,"Male",0.0467926209641108,0.0741051926497569,0.0574607868675274,0.131422800085443,0.0712379134543958,0.122893398245462,0.076832390400753,0.147295001974782,0.157771096197713,0.102389386783734,0,15,19,1,7.95722125403713,1,7.95722125403713,0.011799412376323,0,0.0491757366729464,0,0,0,0,0,0.0279,0.076832390400753
"NRU",2012,"Male",0.0466097414131916,0.0742562251074466,0.0575554808841411,0.131393171984131,0.0713664573935085,0.123089196554206,0.0694548490274034,0.147700687649419,0.158034067779614,0.10256791657,0,15,19,1,7.84801926631845,1,7.84801926631845,0.0179722056369394,0,0.0749017315619766,0,0,0,0,0,0.0279,0.0694548490274034
"NRU",2013,"Male",0.0463128765716417,0.0745120078031188,0.0576892037211448,0.131305818593214,0.0715588453145191,0.12334627840769,0.0669190134301881,0.148396629715293,0.158421921659914,0.102810654380801,0,15,19,1,7.73556276484951,1,7.73556276484951,0.0187267504024759,0,0.0780464042355066,0,0,0,0,0,0.0279,0.0669190134301881
"NRU",2014,"Male",0.0459491896331059,0.0748084266831193,0.0578421960318714,0.131251576537689,0.0717797866343643,0.123639414158106,0.0646974378044493,0.149199842025166,0.158866808096691,0.103086262593321,0,15,19,1,7.64144052053381,1,7.64144052053381,0.0188790598021167,0,0.0786811753917112,0,0,0,0,0,0.0279,0.0646974378044493
"NRU",2015,"Male",0.0456960119223807,0.0750105635720863,0.0579598305651202,0.131209439785867,0.0719428761248372,0.123876209230092,0.058460646440746,0.149742684285519,0.159198655990262,0.103304257330444,0,15,19,1,7.58244077498404,1,7.58244077498404,0.023598824752646,0,0.0983514664040418,0,0,0,0,0,0.0279,0.058460646440746
"NRU",2016,"Male",0.0455356613895864,0.0751302617981975,0.0580480169891161,0.131216785293156,0.072056857844235,0.124068577868999,0.0573807357111839,0.150054783672889,0.159435157710537,0.103474336969453,0,15,19,1,7.50738615617843,1,7.50738615617843,0.023598824752646,0,0.0983514665495464,0,0,0,0,0,0.0279,0.0573807357111839
"NRU",2017,"Male",0.0455064602332917,0.0751650661633349,0.058091274864131,0.131188661293148,0.0721072490135364,0.124174958382271,0.0592674569386931,0.150152370172869,0.159541480955384,0.10356607970596,0,15,19,1,7.42427622164334,1,7.42427622164334,0.0212389422773813,0,0.0885163213275082,0,0,0,0,0,0.0279,0.0592674569386931
"NRU",2018,"Male",0.045449507594803,0.0752118918584014,0.0581430452771243,0.131195342072731,0.0721684445927779,0.124299659702949,0.0681138338182316,0.150274947078252,0.159670943589087,0.10367297203932,0,15,19,1,7.33901392907889,1,7.33901392907889,0.011799412376323,0,0.0491757368967334,0,0,0,0,0,0.0279,0.0681138338182316
"NRU",2019,"Male",0.0453860517629678,0.0752585396574949,0.0581947667203957,0.131237655552722,0.0722297837590943,0.124425447092298,0.0391723540314597,0.150397863645416,0.159800131906444,0.10377940379221,0,15,19,1,7.23025881337857,1,7.23025881337857,0.0401180020794981,0,0.167197476654532,0,0,0,0,0,0.0279,0.0391723540314597
