"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD"
"TKM",2020,"Male",0.0636496002183286,0.0205867082502101,0.0630836765237369,0.120510206437916,0.129750248433134,0.0437008127481222,0.096762726132639,0.1680558696075,0.277606808931414,0.0162933427169995,0,15,19,243,4.85161707409814,243,4.85161707409814,20.9077588518178,5.51773295000844,39.7984490941538,5.35242290748899,0,0,0.023035790771246,0,6.7797
"TKM",2021,"Male",0.0644093148915087,0.0204239811474718,0.0613583759204983,0.114763026812774,0.132848507183493,0.0423691195161695,0.0956885564480367,0.171830812296758,0.280390608247313,0.0159176975359769,0,15,19,241,4.7429998635392,241,4.7429998635392,20.9077588518178,5.51773295000844,39.7984490941538,6.37004405286344,0,0,0,0,6.7239
"TLS",2000,"Male",0.0643634657686505,0.0606803937362416,0.0452166006855429,0.0980085624300419,0.0562933018529587,0.0952849139198192,0.257256553502942,0.117776441472037,0.125354266510278,0.079765500121488,0,15,19,96,10.4649268113936,96,10.4649268113936,19.0223133175255,0,79.0951683073727,0.0176266666666667,0,0,0,0,2.6784
"TLS",2001,"Male",0.0647026949153959,0.0611626886273847,0.0456054814093055,0.0998883478787243,0.056779801133237,0.0961734134239643,0.250029721008162,0.118767821302568,0.126417443934465,0.0804725863667936,0,15,19,88,9.40462197992098,88,9.40462197992098,20.1413040977236,0,85.5372277606184,0.0193438532110092,0,0,0,0.0470937639474869,2.4552
"TLS",2002,"Male",0.0649841130759491,0.0616035616070024,0.0459584542302431,0.101293256257762,0.057220453827751,0.0969667734522157,0.243780737603391,0.119680739192041,0.12738049998893,0.0811314107647147,0,15,19,81,8.34905475046906,81,8.34905475046906,30.709601048282,0,154.869991379041,0.0212532110091743,0,0,0,0,2.2599
"TLS",2003,"Male",0.0652165853968422,0.0620110287005325,0.0462839400253934,0.102401314362332,0.057627854487444,0.0976920686613539,0.23820014945774,0.120548589216827,0.128265642104942,0.0817528275865925,0,15,19,73,7.39799819047393,73,7.39799819047393,26.4513704713854,0,116.326394418127,0.0229438317757009,0,0,0,0.136628851294518,2.0367
"TLS",2004,"Male",0.0653888179497554,0.0623688953580957,0.0465766019116395,0.103411451318898,0.0579960312997535,0.0983497628560642,0.233181036085896,0.121349167282801,0.129054858393098,0.0823233775439988,0,15,19,67,6.64905934689438,67,6.64905934689438,20.9115819650234,0,85.4557008164478,0.0251152427184466,0,0,0,0,1.8693
"TLS",2005,"Male",0.0654988868205016,0.0626633257621449,0.0468055359880061,0.104395158849519,0.058287098902923,0.0988602220994749,0.229029054232136,0.122008807625888,0.12967679243656,0.0827751172828461,0,15,19,64,6.10065888462101,64,6.10065888462101,21.9054876013907,0,90.0163873787536,0.0289979381443299,0,0,0,0,1.7856
"TLS",2006,"Male",0.0655579904438613,0.0628968219915441,0.0469811361428361,0.105476259698142,0.0585140140094532,0.0992571050233446,0.225495020898759,0.122543790234922,0.130156746446363,0.0831211151107739,0,15,19,62,5.72034522526379,62,5.72034522526379,25.993357143897,0,110.997135108612,0.0330891304347826,0,0,0,0,1.7298
"TLS",2007,"Male",0.0655651208169468,0.0630565594186545,0.0471049579190691,0.106611305131738,0.0586750561986074,0.0995487732750444,0.222664272823287,0.12291618222478,0.13049397318609,0.0833637990057832,0,15,19,63,5.55028087119452,63,5.55028087119452,32.0731823432579,0,161.280982018408,0.0392532954545455,0,0,0,0.0450217165052891,1.7577
"TLS",2008,"Male",0.0655321778538652,0.0631466429984499,0.0471858195594238,0.107690264327822,0.0587789804069295,0.0997545575243315,0.220554560654909,0.123128117051099,0.130710440050377,0.0835184395727934,0,15,19,65,5.52588783823326,65,5.52588783823326,33.0432540524093,0,166.259798400424,0.0461647727272727,0,0,0,0,1.8135
"TLS",2009,"Male",0.0654547102066402,0.0631671713408887,0.0472319940861714,0.108574517465991,0.0588353117841298,0.0998941946258809,0.219213832199001,0.12319851037251,0.13082284133784,0.0836069165809465,0,15,19,69,5.78972361280388,69,5.78972361280388,14.0000746565254,0,70.3260159083434,0.0462906593406593,0,0,0,0,1.9251
"TLS",2010,"Male",0.0654782982718895,0.0629757155697309,0.0471317112489781,0.108813493096945,0.0587038954881864,0.0997194651366045,0.220384267413507,0.122833004496493,0.130526948340944,0.0834332009367224,0,15,19,76,6.25352748699411,76,6.25352748699411,17.8975699726538,0,76.953023440932,0.0560929032258065,0,0,0,0,2.1204
"TLS",2011,"Male",0.0656852770708714,0.062468996891588,0.0467975004131217,0.108151685864841,0.0582776998804562,0.0990353461792851,0.225326794710528,0.121827248530639,0.129587308215308,0.0828421422433611,0,15,19,85,6.92267691999341,85,6.92267691999341,21.8718102760472,0,88.1612148512876,0.0629894736842105,0,0,0,0,2.3715
"TLS",2012,"Male",0.0660349782503588,0.0616217166269209,0.0461959565413985,0.10657592491411,0.0575193828195503,0.0977626906246328,0.234453098618894,0.120144209764245,0.127918021309267,0.081774020530623,0,15,19,100,7.90567156340665,100,7.90567156340665,31.0161741145913,0,134.889249119824,0.0805,0,0,0,0,2.79
"TLS",2013,"Male",0.0661756782237625,0.0607618272661347,0.0455673711234591,0.104822299627666,0.0567303582156141,0.0964133182508916,0.244252360568455,0.11843992406554,0.126180393559796,0.0806564690986807,0,15,19,119,9.1146699414338,119,9.1146699414338,34.1636278529863,0,154.837606587453,0.0813208421052632,0,0,0,0,3.3201
"TLS",2014,"Male",0.0657386022148743,0.060377193424379,0.0452744124797264,0.103914468480902,0.0563642628443929,0.0957615455936475,0.24937406748431,0.117687966393755,0.12537196546885,0.0801355156151633,0,15,19,140,10.2085716927742,140,10.2085716927742,37.1669359359897,0,186.916453330539,0.0907741935483871,0,0,0,0,3.906
"TLS",2015,"Male",0.0647637449590343,0.0605824817651378,0.0454073675217898,0.104136112061965,0.0565329226989664,0.0960053775861541,0.248346981411811,0.118112670916084,0.125739940177603,0.0803724009014549,0,15,19,159,11.1548134553748,159,11.1548134553748,42.9885526779929,0,217.882995744498,0.0989156666666667,0,0,0,0,4.4361
"TLS",2016,"Male",0.063269273622103,0.0616641079911698,0.0461890795597413,0.106022229654086,0.0575120037057736,0.097629517324003,0.237772865702752,0.120279668410963,0.127893756833297,0.0817674971961118,0,15,19,174,11.8731630906758,174,11.8731630906758,40.3690324790023,0,203.94714245912,0.09784,0,0,0,0,4.8546
"TLS",2017,"Male",0.0618195849621729,0.0630749319100787,0.0472239753549089,0.108580711144924,0.0588061782735609,0.0998085475143671,0.223216711461645,0.12310996077934,0.130740839036282,0.0836185595627211,0,15,19,185,12.262261397882,185,12.262261397882,44.6175691412253,0,226.131014376616,0.0997258823529412,0,0,0,0,5.1615
"TLS",2018,"Male",0.0606469677470466,0.0642987203236409,0.0481273588253608,0.110848806837812,0.0599349266072138,0.101720519602031,0.210388821812092,0.125572609980559,0.133223063235028,0.0852382050292166,0,15,19,193,12.4632293704665,193,12.4632293704665,41.9646956595232,0,211.659800447768,0.102176470588235,0,0,0,0,5.3847
"TLS",2019,"Male",0.0595791895784474,0.0655498314036449,0.0490582729456395,0.113223977653624,0.0610972654838088,0.103704957792629,0.196997198237296,0.12810120166554,0.135777499929818,0.0869106053095529,0,15,19,198,12.4703481353158,198,12.4703481353158,40.2234228012847,0,202.222044869318,0.0910334117647059,0,0,0,0,5.5242
"TLS",2020,"Male",0.058907556993475,0.0663563806498556,0.0496625036119223,0.114812013548945,0.0618511369492267,0.105000096584918,0.188236204068891,0.12974184234215,0.137433056987364,0.0879992082632526,0,15,19,200,12.4151256136294,200,12.4151256136294,40.2234228012847,0,202.222044869318,0.0769655172413793,0,0,0,0,5.58
"TLS",2021,"Male",0.0584047695471038,0.0669753716727835,0.0501286076270436,0.116069911696274,0.0624325729862872,0.106003710684178,0.181431746174522,0.131004535931036,0.138709045719279,0.088839727961493,0,15,19,201,12.2954243523986,201,12.2954243523986,40.2234228012847,0,202.222044869318,0.0809313793103448,0,0,0.0330403037369251,0,5.6079
