"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD"
"MCO",2011,"Male",0.0327727851409776,0.00464256154578115,0.0115655711131554,0.112068563656229,0.0768177153558526,0.0324016599769097,0.0160299591306001,0.215405741685697,0.175064955066616,0.323230487328181,0,15,19,0,2.19418447398999,0,2.19418447398999,0,0,0.00654515414051004,0,0,0,0,0,0
"MCO",2012,"Male",0.0319383854414233,0.00449645415734498,0.0107864535561421,0.115377724920941,0.0752661085472601,0.0301561889307665,0.0152649805359569,0.216178021625522,0.170257457465269,0.330278224819374,0,15,19,0,2.16117453984626,0,2.16117453984626,0,0,0.004040642600917,0,0,0,0,0,0
"MCO",2013,"Male",0.030727263697596,0.00430061079119078,0.00966516201526897,0.122279565327418,0.0724671769078003,0.026811714551778,0.0142449762739032,0.217373294390882,0.162368592274275,0.339761643769888,0,15,19,0,2.12339801636455,0,2.12339801636455,0,0,0.00160894624569998,0,0,0,0,0,0
"MCO",2014,"Male",0.0292536319633599,0.00407310239512404,0.00840343921362662,0.131494091449049,0.0688180650669886,0.0230045062566295,0.0130812721781045,0.218395503511573,0.152481936700484,0.350994451265061,0,15,19,0,2.08835055965495,0,2.08835055965495,0,0,0,0,0,0,0,0,0
"MCO",2015,"Male",0.0276428756580872,0.00383170818852413,0.00718284084733642,0.141836924737017,0.0647519577085664,0.0193400099376277,0.0118895650975702,0.218712908105414,0.141814040784696,0.362997168935161,0,15,19,0,2.04850368032704,0,2.04850368032704,0,0,0,0,0,0,0,0,0
"MCO",2016,"Male",0.0261040209155274,0.00360496006810584,0.00616931212989088,0.152007465655794,0.0609673192508259,0.0163389637904181,0.0108169049887738,0.218303805073946,0.132040957919247,0.373646290207471,0,15,19,0,2.00605920598543,0,2.00605920598543,0,0,0,0,0,0,0,0,0
"MCO",2017,"Male",0.0249630370142768,0.00343606506697119,0.00553957544085987,0.159180974371323,0.0585233286214569,0.0145306252855504,0.0100531465001271,0.217472574276162,0.125549850691005,0.380750822732268,0,15,19,0,1.96383116387127,0,1.96383116387127,0,0,0,0,0,0,0,0,0
"MCO",2018,"Male",0.0238408089446496,0.00327164303685741,0.0049385093502022,0.167196844060466,0.0560300513495944,0.0127972780871594,0.00930774590816803,0.216743907439716,0.11937199633458,0.386501215488606,0,15,19,0,1.92649118420563,0,1.92649118420563,0,0,0,0,0,0,0,0,0
"MCO",2019,"Male",0.0225925925272362,0.00309177921812144,0.004311886205992,0.176736074958387,0.0530667321840011,0.0110004400215911,0.0085094507041546,0.21559662214783,0.11253555490573,0.392558867126956,0,15,19,0,1.88859545951393,0,1.88859545951393,0,0,0,0,0,0,0,0,0
"MCO",2020,"Male",0.0218136499314136,0.00297577680213067,0.00399247490809928,0.181593607687993,0.0516174167345518,0.0101397033173066,0.00801252107029428,0.214542528023033,0.109160562337119,0.396151759188059,0,15,19,0,1.84983748419167,0,1.84983748419167,0,0,0,0,0,0,0,0,0
"MCO",2021,"Male",0.021228213631786,0.00288672326885655,0.00377811465525326,0.184925285411105,0.0507242002555612,0.00958621068665023,0.00763397212466363,0.213701368491814,0.107124422281125,0.398411489193186,0,15,19,0,1.80787903051238,0,1.80787903051238,0,0,0,0,0,0,0,0,0
"NIU",2000,"Male",0.0633958278996288,0.0634924465315369,0.0501125906224566,0.106513351727591,0.0616704034792415,0.107493667762316,0.198180807486139,0.122414277659261,0.137541485678907,0.089185141152923,0,15,19,0,7.41631406209422,0,7.41631406209422,0,0,0,0,0,0,0,0,0
"NIU",2001,"Male",0.0632323791842086,0.0634709393944667,0.0501313020600682,0.106767874272142,0.06166872918697,0.107537733712157,0.198168719380106,0.122216377159741,0.137575267748837,0.089230677901304,0,15,19,0,7.50661002978716,0,7.50661002978716,0,0,0,0,0,0,0,0,0
"NIU",2002,"Male",0.0630751987216067,0.0635633007718934,0.0501353644999628,0.106722077685777,0.0616874343323969,0.107491720122313,0.198058937705405,0.122412092037073,0.137622721698462,0.0892311524251114,0,15,19,0,7.62679193577193,0,7.62679193577193,0,0,0.0472030785732826,0,0,0,0,0,0
"NIU",2003,"Male",0.0628549941496707,0.0636951509196465,0.0502027283990135,0.106894640283115,0.061772107886748,0.107600340275988,0.197171452377776,0.122631017439642,0.137825821019681,0.0893517472487203,0,15,19,0,7.76152501744419,0,7.76152501744419,0,0,0,0,0,0,0,0,0
"NIU",2004,"Male",0.0626579826629154,0.0639064524413722,0.0502614672036448,0.106856646561969,0.0618715454282239,0.107650201063458,0.196194422537334,0.12311501150763,0.138042194275015,0.0894440763184385,0,15,19,0,7.67379710177235,0,7.67379710177235,0,0,0,0,0,0,0,0,0
"NIU",2005,"Male",0.0623460281912676,0.0642268952718196,0.0504117242952184,0.107086451892936,0.0620800466716126,0.107900094654561,0.193955681644691,0.123786270845338,0.138504761825025,0.0897020447075301,0,15,19,0,7.41561052754568,0,7.41561052754568,0,0,0,0,0,0,0,0,0
"NIU",2006,"Male",0.0620561027150894,0.0645088216470974,0.0505878740997064,0.107532156294751,0.0622978472481529,0.10823653413365,0.191485509751413,0.124268979016745,0.139010136265778,0.0900160388276169,0,15,19,0,7.30773381310864,0,7.30773381310864,0,0,0,0,0,0,0,0,0
"NIU",2007,"Male",0.0619038025903319,0.0647565491386977,0.0506684268575342,0.107601813338557,0.062420287912024,0.108326697646536,0.190116358539747,0.124770440106883,0.139291305769556,0.0901443181001331,0,15,19,0,7.24520980468219,0,7.24520980468219,0,0,0,0,0,0,0,0,0
"NIU",2008,"Male",0.0617441287764466,0.0649377702479996,0.0507813428611699,0.107978695970698,0.0625494683433936,0.108531955198724,0.188533736528413,0.124979419619223,0.139618267530028,0.0903452149239054,0,15,19,0,7.06284843621797,0,7.06284843621797,0,0,0,0,0,0,0,0,0
"NIU",2009,"Male",0.0616112042062032,0.0651413129660589,0.0508854368748594,0.108274511329942,0.0626774497148273,0.108704415101477,0.186970692860809,0.125275063262112,0.139934688493193,0.0905252251905181,0,15,19,0,6.95970313947908,0,6.95970313947908,0,0,0,0,0,0,0,0,0
"NIU",2010,"Male",0.0617657722362194,0.0650671399953114,0.0507972264010497,0.108161440534206,0.0625620142879143,0.108479815924149,0.188074786980217,0.125014769451133,0.139714761285629,0.0903622729041711,0,15,19,0,6.97186522610097,0,6.97186522610097,0,0,0,0,0,0,0,0,0
"NIU",2011,"Male",0.0618180668377244,0.064990329150559,0.0508041710269502,0.108537494849633,0.0625328151839864,0.108520054546097,0.188072687627436,0.124632732234154,0.139703297442916,0.090388351100543,0,15,19,0,6.97471218005766,0,6.97471218005766,0,0,0.011800772298128,0,0,0,0,0,0
"NIU",2012,"Male",0.0618424873266501,0.0649408620243276,0.050836977347776,0.109005907386852,0.0625399634151868,0.108626343817678,0.187630595905551,0.124356236972592,0.139758535021549,0.0904620907818376,0,15,19,0,6.99946942188051,0,6.99946942188051,0,0,0,0,0,0,0,0,0
"NIU",2013,"Male",0.0619258679252276,0.0648297989325963,0.0508346037749088,0.109409772155776,0.0625034677647424,0.108669334207859,0.18765796294731,0.123983799424542,0.139710311047184,0.0904750818198538,0,15,19,0,7.08200562762632,0,7.08200562762632,0,0,0,0,0,0,0,0,0
"NIU",2014,"Male",0.0619271691919561,0.0647945512167932,0.0508831874861033,0.109918470562261,0.0625355202357105,0.108820436883857,0.186938222481914,0.123799418421063,0.139804133268027,0.0905788902523146,0,15,19,0,7.17334066512771,0,7.17334066512771,0,0,0,0,0,0,0,0,0
"NIU",2015,"Male",0.061859946584612,0.0648731371070933,0.0509830577304374,0.110387440431979,0.0626454730827199,0.109060479267185,0.185455314510557,0.123908822821268,0.140056680406833,0.0907696480573166,0,15,19,0,7.27144498873511,0,7.27144498873511,0,0,0,0,0,0,0,0,0
"NIU",2016,"Male",0.0618569322323646,0.0649083146124125,0.0510309212265421,0.110592095893833,0.0626971967717768,0.109174998731766,0.184738288613782,0.123959928110086,0.140176810077174,0.0908645137302627,0,15,19,0,7.37371026668705,0,7.37371026668705,0,0,0.0047895200406835,0,0,0,0,0,0
"NIU",2017,"Male",0.0617985783198262,0.0649967666922841,0.0511235699450252,0.110847863801128,0.0628022336614493,0.109385606031327,0.183480587485213,0.124105973850054,0.140417079506761,0.0910417407069322,0,15,19,0,7.40193715168393,0,7.40193715168393,0,0,0,0,0,0,0,0,0
