"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid","LRIresid"
"TLS",2007,"Both",6.62679939969053,31.0146322517368,19.3722068928892,15.0183517622444,7.45317957500088,12.6073430025273,12.5706880910765,19.962297036204,59.5151281878022,36.2506976010914,3.54769711323278,5,9,241,8.33410745151126,241,8.33410745151126,16.8287708542824,0,68.346589192028,0.0570791317304631,0,68.346589192028,0.141040511235157,0,0,0,0,0,0.0911677209862891,10.9655,6.4829,59.5376506439106,7.45600010004984
"TLS",2008,"Both",6.81850651214227,29.5846998796819,18.6845987304001,15.2978859227063,6.41588844084091,16.9381017208968,12.7853636462908,19.6469994333992,56.7881956268066,36.141422121882,3.46940594812207,5,9,240,8.02222455483455,240,8.02222455483455,17.2562754130575,0,70.4564791100184,0.0586836606808246,0,70.4564791100184,0.172656603773585,0,0,0,0,0,0,10.92,6.456,56.7881956268066,6.41588844084091
"TLS",2009,"Both",7.16632152949483,29.6002048022564,18.9722643843119,15.9636878121408,14.8190475616637,11.1262264109964,13.3644127952024,20.2567271217521,59.1975290548494,37.4366362176904,3.55804015760791,5,9,239,7.74941379331988,239,7.74941379331988,7.34860688389498,0,29.8022944717127,0.0251237693698984,0,29.8022944717127,0.190295268138801,0,0,0,0,0,0,10.8745,6.4291,59.1975290548495,14.8190475616637
"TLS",2010,"Both",7.19550154209772,28.6548804433969,18.6495039427295,15.848517776406,12.9183010713473,11.3675949723382,13.3066581044153,20.1547919899291,57.818511313665,36.9894333917854,3.50863717517275,5,9,236,7.50190236446277,236,7.50190236446277,9.39439318237738,0,32.610643948098,0.0325262812853545,0,32.610643948098,0.193275094339623,0,0,0,0,0,0,10.738,6.3484,57.818511313665,12.9183010713473
"TLS",2011,"Both",7.45176157576688,28.8796158746541,19.0336182046434,16.0574120023132,11.9388412606765,2.74730238504389,13.5672624697082,20.6943946791333,59.1853732787164,37.2120361655335,3.55078416634136,5,9,232,7.28733562216666,232,7.28733562216666,11.4804627475962,0,37.3603772664489,0.0404342221205946,0,37.3603772664489,0.201135189873418,0,0,0,0,0,0,10.556,6.2408,59.1853732787163,11.9388412606765
"TLS",2012,"Both",7.56779271944913,28.2891670042706,18.7215872878586,15.72482132877,8.37081416873688,0.331948060680751,13.2422796911708,20.3039132151047,58.9026877200434,35.6355418268778,3.42535259614985,5,9,227,7.08668743926369,227,7.08668743926369,16.2803182270415,0,57.1624749591463,0.0586023073960745,0,57.1624749591463,0.203776153846154,0,0,0,0,0,0,10.3285,6.1063,58.9026877200434,8.37081416873687
"TLS",2013,"Both",7.51593010578496,27.6079281233097,18.1787178272915,14.9961734241693,7.17477460649059,0,12.4616983564017,19.2174159846907,59.0535097667768,33.4438527879084,3.22508541299795,5,9,221,6.90656186048668,221,6.90656186048668,17.9324094319931,0,65.6160581146613,0.0663016071944873,0,65.6160581146613,0.19250417218543,0,0,0,0,0,0,10.0555,5.9449,59.0535097667767,7.17477460649058
"TLS",2014,"Both",7.29101992868778,26.892404970879,17.5974499365375,14.1253035125782,5.74718005599977,0,11.3223709196826,17.5774816969642,59.1125928092834,31.6445245763359,3.00201271004211,5,9,214,6.72694596336893,214,6.72694596336893,19.4827538830097,0,79.2102198854119,0.0743676543177076,0,79.2102198854119,0.204905,0,0,0,0,0,0,9.737,5.7566,59.1125928092835,5.74718005599978
"TLS",2015,"Both",7.00999878627833,26.1144279310365,16.9935822119099,13.387745341678,4.92712183362298,0,10.0823936481789,15.7026979912417,58.8165341857707,30.5288745270737,2.79511085973437,5,9,207,6.54022126298061,207,6.54022126298061,20.4415369849455,0,92.3330166750716,0.0788143868866383,0,92.3330166750716,0.199975698529412,0,0,0,0,0,0,9.4185,5.5683,58.8165341857706,4.92712183362298
"TLS",2016,"Both",6.66676846916365,24.8987225661493,16.2529732865977,12.952474042736,4.78880961905082,0,8.96177355533969,13.9268517825284,57.9655000377553,30.3834975261247,2.6458916397674,5,9,199,6.35290306888697,199,6.35290306888697,19.3644644551794,0,86.4273728253375,0.077834085525194,0,86.4273728253375,0.192273019607843,0,0,0,0,0,0,9.0545,5.3531,57.9655000377553,4.78880961905081
"TLS",2017,"Both",6.40996140866398,23.3619730751461,15.3847248227974,12.9377282088836,4.03945234118998,0,8.2673383941139,12.6939646649026,54.994767599368,30.7838799107845,2.58172716595787,5,9,191,6.15922161909935,191,6.15922161909935,19.3284472015806,0,95.8283075273631,0.0787701598419306,0,95.8283075273631,0.21603520661157,0,0,0,0,0,0,8.6905,5.1379,54.994767599368,4.03945234118997
"TLS",2018,"Both",6.24278373941405,21.9256997059129,14.5573483801677,13.0819511023224,3.88692821942571,0,7.86097474626326,11.8702897715696,52.4370554332627,31.166388273601,2.56091855566623,5,9,184,5.97350536406266,184,5.97350536406266,18.1629196586012,0,89.6957920805509,0.0768165891880053,0,89.6957920805509,0.246742413793103,0,0,0,0,0,0,8.372,4.9496,52.4370554332627,3.8869282194257
