"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"COK",2017,"Both",0.098284080532175,0.0144777783524623,0.0279212989405177,0.0320207940500879,0.039869950909149,0,0.246490659196476,0.120824662865392,0.051853100878558,0.246764063141865,0.121493611133317,5,9,0,1.0159990376392,0,1.0159990376392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2018,"Both",0.0995938027992355,0.0138033635849516,0.0278547889955443,0.0313428248530825,0.0388958468738453,0,0.25004599975567,0.119013791606752,0.0506898988403837,0.250915336096056,0.11784434659448,5,9,0,0.983390082813384,0,0.983390082813384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2019,"Both",0.100864487646712,0.0132015854216919,0.0277956804577319,0.0306693709095486,0.0379853187796781,0,0.253461600804752,0.117169354340103,0.0495391281069151,0.254972164679757,0.114341308853111,5,9,0,0.953107106642085,0,0.953107106642085,0,0,0.0389845105015114,0,0,0.0389845105015114,0,0,0,0,0,0,0,0,0
"COK",2020,"Both",0.101985564350163,0.0128489015245452,0.0278250798874904,0.030079508163919,0.0374542128193595,0,0.256357529144663,0.115278209981597,0.0485348465999174,0.25856575755304,0.111070389975306,5,9,0,0.923728489569922,0,0.923728489569922,0,0,0.0389845105015114,0,0,0.0389845105015114,0,0,0,0,0,0,0,0,0
"COK",2021,"Both",0.103012538150858,0.0126357570099422,0.0279063418398467,0.0295451890142786,0.0371482758190161,0,0.258933712677865,0.113368959499472,0.0476253948250898,0.261872875908757,0.107950955254875,5,9,0,0.897738282082619,0,0.897738282082619,0,0,0.0389845105015114,0,0,0.0389845105015114,0,0,0,0,0,0,0,0,0
"MCO",2000,"Both",0.0880635032051218,0.00492983041963289,0.0167598231521591,0.0731572495967306,0.0303483847023997,0,0.216281493692722,0.146111493730898,0.0642370160484383,0.211792955200806,0.148318250251091,5,9,0,0.594925535597211,0,0.594925535597211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2001,"Both",0.0894083233872587,0.00485840646401617,0.0168247046264924,0.0722645628889674,0.0300710699420153,0,0.219471834352517,0.144198050523891,0.0627456913491855,0.215374205477007,0.14478315098865,5,9,0,0.578213919612524,0,0.578213919612524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2002,"Both",0.0907875219177003,0.00477653301716582,0.0168666635598862,0.0714005126634086,0.0297275661955436,0,0.222690618967459,0.142246348646462,0.0612391234104886,0.219003512124876,0.141261599497011,5,9,0,0.563157143480933,0,0.563157143480933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2003,"Both",0.0921682927761782,0.00469480581885371,0.0169027488927928,0.0705232822384941,0.0293731640325817,0,0.225894553010472,0.140287568117398,0.0597606085655341,0.222594828375562,0.137800148172132,5,9,0,0.549687927529057,0,0.549687927529057,0,0,0.000915573853828732,0,0,0.000915573853828732,0,0,0,0,0,0,0,0,0
"MCO",2004,"Both",0.0935638345328101,0.00461122197070139,0.0169267467755801,0.069651577728541,0.0289887293939653,0,0.229093595342814,0.138319124291048,0.0583032931642532,0.226162415567079,0.134379461233208,5,9,0,0.537192953714422,0,0.537192953714422,0,0,0.00248696173228378,0,0,0.00248696173228378,0,0,0,0,0,0,0,0,0
