"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid"
"GMB",2010,"Both",0.044068896044344,0.0973096722389155,0.0216822333873672,0.0646531299416859,0.118159414031941,0.0771293821768262,0.0445177223833472,0.0739355109714871,0.207578887047225,0.110177499535073,0.0958454075450585,5,9,502,8.60742204105817,502,8.60742204105817,0.00233909928133534,0,33.2376846758991,9.69189255219938,0,33.2376846758991,0.0143102461362335,0.0282928992791606,2.56502715341412,0,0,0,0.814987421035767,22.841,13.5038,104.204601297707
"GMB",2011,"Both",0.0446904095680495,0.0957235574371719,0.0202629103016618,0.064071848546498,0.11138600229161,0.112187444901812,0.0461671243912357,0.0706477710583095,0.194378098552084,0.107369544788827,0.0915798361684372,5,9,495,8.20405685625536,495,8.20405685625536,0.00201510484707932,0,24.1492444801957,8.23301799568412,0,24.1492444801957,0.0142045454545455,0.0253158016926786,5.51697222950692,0,0,0,0,22.5225,13.3155,96.2171587832814
"GMB",2012,"Both",0.0466442862149212,0.0969712643316675,0.0198639729061286,0.0645688803086734,0.10730754566414,0.121783855283843,0.0496244142224584,0.0704077251381397,0.187130292153761,0.108176977356432,0.0884478141301044,5,9,490,7.83506320056892,490,7.83506320056892,0.00243237356962649,0,23.9006217900275,9.83745081069116,0,23.9006217900275,0.0140765765765766,0.022564022143528,3.2874401848276,0,0,0.568055748939514,0,22.295,13.181,91.6938431553429
"GMB",2013,"Both",0.0491048037603542,0.0994757933469582,0.0203338198188795,0.065049420298608,0.104514835958055,0.116015174230534,0.0547351265245252,0.0735656723663153,0.183494784479584,0.111750161485511,0.0857037829294992,5,9,484,7.47911635669976,484,7.47911635669976,0.0027236915827407,0,27.2268040950282,10.8807669492055,0,27.2268040950282,0.0133779264214047,0.0201550067970319,2.933653544343,0,0,0,0.181593596935272,22.022,13.0196,88.8114756881185
"GMB",2014,"Both",0.0518914818674864,0.103355940503047,0.0216309827622668,0.0659334095655283,0.10270781384445,0.0941121015547876,0.061223362456724,0.0783723206366142,0.184651185284073,0.117554524932627,0.0855357088914706,5,9,477,7.14555966132352,477,7.14555966132352,0.00230830367169428,0,23.0208319064824,9.08798370187101,0,23.0208319064824,0.0126791620727674,0.0180437019564623,3.01021101338614,0,0,0.12922802567482,0,21.7035,12.8313,88.0786153805028
"GMB",2015,"Both",0.0516471772648694,0.10184081369411,0.0220355699730373,0.0639503925949513,0.0959832831144498,0.112325377553973,0.0646087115833609,0.0790801544136328,0.17672618010125,0.118554808019485,0.0835607771420674,5,9,469,6.82472973522578,469,6.82472973522578,0.0025782310487867,0,25.1388341304733,9.98046773458828,0,25.1388341304733,0.0109170305676856,0.0161914929283412,11.3854397708316,0,0,0,0,21.3395,12.6161,82.8845784674861
"GMB",2016,"Both",0.0517827970251833,0.102588954789306,0.0235568550675114,0.0651046661244443,0.0919383654889778,0.0922955665772535,0.0696144540869612,0.0841756290567161,0.174836585212153,0.1302642579038,0.0868105354991961,5,9,461,6.52087010409932,461,6.52087010409932,0.00275215563216518,0,26.2707433738058,10.4720120370209,0,26.2707433738058,0.00974553329723876,0.0145336442390943,7.73770172147578,0,0,0.159364342689514,0,20.9755,12.4009,80.5996657828024
"GMB",2017,"Both",0.0500476561984925,0.101121241189706,0.0246550189413039,0.0661861466291693,0.0860874097599445,0.0824682194619157,0.0722397106288565,0.087034280638746,0.170732271133626,0.14446820263157,0.0914677777793434,5,9,452,6.24178573365163,452,6.24178573365163,0.00287468036800058,0,26.8658295934268,10.7246768706917,0,26.8658295934268,0.00753904146472805,0.0130783431745969,-2.71755702136618,0,0,0.381028741598129,0,20.566,12.1588,77.1709865523991
"GMB",2018,"Both",0.0469246636057359,0.0973854031575872,0.0250653106634691,0.0667979904134229,0.0791737587829935,0.0846972210493439,0.0725820640398809,0.0885331054049374,0.161571107933519,0.160454755164653,0.0954780198745501,5,9,444,5.98015193522567,444,5.98015193522567,0.00312416548303863,0,28.5945685899298,11.449149282038,0,28.5945685899298,0.0064655172413793,0.0117469171854902,-1.17778609562252,0,0,0.134278506040573,0,20.202,11.9436,71.7375719224824
"GMB",2019,"Both",0.0438509920900061,0.0942248056109058,0.0254367726752958,0.0669286095846253,0.0736209806857122,0.0828448800862622,0.0728100844678268,0.0911652336012213,0.154109586817392,0.177046924185974,0.0991375128983991,5,9,435,5.7416859437838,435,5.7416859437838,0.00279826905753313,0,25.3407489672412,10.0469662933064,0,25.3407489672412,0.00544662309368191,0.0105787251451642,-2.69983036475163,0,0,0.0433683507144451,0,19.7925,11.7015,67.0376702655654
"GMB",2020,"Both",0.0416678261391056,0.0920917464176475,0.0252889174327054,0.066295377983395,0.069916761573829,0.0883192180111454,0.0729238519177546,0.0918505622614837,0.148557993395985,0.183992197985241,0.102189630174836,5,9,424,5.51069589014399,424,5.51069589014399,0.00287086566044083,0,25.3407489672412,10.0469662933064,0,25.3407489672412,0.00445930880713491,0.00957574223929604,6.91218868104141,0,0,0.0422716811299324,0,19.292,11.4056,62.9885891998977
