"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid"
"SYR",2019,"Both",0.018086951290338,0.0282032140742437,0.0974992865666001,0.0908514537240268,0,0.14051080474267,0.15836919707215,0.101138896826143,0.293914597671417,0.0710428645307215,10,14,1133,1.9980516967667,1231,2.17046980389968,8.06319080644574e-05,0,0.341413179283323,0.274067855511091,0.103361265869429,0.444774445152753,0.000302101593625498,0,0,0,0,37.6156,22.3201,114.59037010402
"SYR",2020,"Both",0.0180057188806679,0.0283523133932503,0.0957414382378189,0.0906903073395669,0,0.141449117633517,0.160170448470142,0.0992379514843506,0.296480037527768,0.0694341511587379,10,14,1158,2.00851724934525,1292,2.23935226461769,7.88911501183335e-05,0,0.341413179283323,0.274067855511091,0.103361265869429,0.444774445152753,0.00035962472406181,0,0,0,0,38.4456,22.8126,114.917547818878
"SYR",2021,"Both",0.0179731964160336,0.0285076737070811,0.0941150372399231,0.0907859464261591,0,0.142309304032272,0.161777915480222,0.0974835762231967,0.298795120534598,0.0677478556917399,10,14,1168,2.01866190827427,1280,2.21155657789429,7.82157121892382e-05,0,0.341413179283323,0.274067855511091,0.103361265869429,0.444774445152753,0.000426158536585366,0,0,0,0,38.7776,23.0096,113.860817028694
"TCD",2000,"Both",0.312397639389778,0.00343071140045881,0.0053928922682606,0.0698269794124706,0.151336843161739,0.00114776145854615,0.000786045007640132,0.43783273471714,0.00478475465124237,0.0036945826969216,10,14,2541,12.3495772283266,2541,12.3495772283266,0.00158603696787884,0,156.832566592054,14.7957930686262,0,156.832566592054,0.00778301886792452,0,0,0.351133763790131,0,84.3612,50.0577,1112.53297891625
"TCD",2001,"Both",0.332960046655103,0.00360666993159315,0.00551333785489984,0.072829180432608,0.109014859318428,0.00133222415281253,0.000938628856625173,0.453578377950213,0.00488453187107382,0.00390482452361334,10,14,2642,12.2608029144684,2642,12.2608029144684,0.00167900686787159,0,166.935027924035,16.2856675032421,0,166.935027924035,0.00975831158515829,0,0,0.205877244472504,11.8386564254761,87.7144,52.0474,1198.35407454446
"TCD",2002,"Both",0.329472947555607,0.00352972723558188,0.00517273673827011,0.0701080740030822,0.131518783157255,0.00141573316810047,0.00102610424073578,0.435831722527692,0.00458170326807252,0.00383519231779251,10,14,2752,12.1853909577091,2752,12.1853909577091,0.00172974034615284,0,175.59173779333,17.4763052976227,0,175.59173779333,0.0117775354416576,0,0,0.0591926947236061,0,91.3664,54.2144,1199.40890039621
"TCD",2003,"Both",0.332909517121743,0.00360046724439754,0.00517516436995123,0.0711743394331376,0.120155628299847,0.00157382438250056,0.00117320504163678,0.435548591441156,0.004562841416655,0.00398038559157913,10,14,2866,12.1070839930262,2866,12.1070839930262,0.00185207789030469,0,194.574755508418,19.4874812890272,0,194.574755508418,0.0182939577670918,0,0,0.0298047717660666,0,95.1512,56.4602,1248.28226307035
"TCD",2004,"Both",0.322118913942619,0.00355568787744749,0.00514372800064846,0.0713609415725949,0.12988986031062,0.00171154125882038,0.00131426556932557,0.434998910417317,0.00446142919451396,0.00408484598642926,10,14,2967,12.0251542621097,2967,12.0251542621097,0.00184473654766395,0,199.661437601213,20.0942673535812,0,199.661437601213,0.0195151393219998,0,0,3.39182043075562,0,98.5044,58.4499,1290.64176720818
"TCD",2005,"Both",0.303756865073353,0.00341425188949561,0.00502490514764493,0.0705485571917608,0.153343498080263,0.00180463099944282,0.00142476769858582,0.433547272573348,0.0042690003270039,0.00411913619680668,10,14,3054,11.9506536819174,3054,11.9506536819174,0.00163980533551472,0,182.136343065454,18.3857608065838,0,182.136343065454,0.0171073094867807,0,0,6.22145462036133,0,101.3928,60.1638,1324.053370439
"TCD",2006,"Both",0.292258981496046,0.00334597595249657,0.0050452259921237,0.07161151258705,0.158195451861136,0.00194952684463162,0.00158857272129778,0.43855510789002,0.00422184985105961,0.00427344250363553,10,14,3157,11.8936068763926,3157,11.8936068763926,0.00167411187976638,0,194.414751881226,19.4034670745845,0,194.414751881226,0.0172802404207363,0,0,19.0185852050781,6.33348751068115,104.8124,62.1929,1384.51847560879
