"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid","LRIresid"
"KIR",2010,"Both",0.649603900160021,0.417818212598564,0.533767204522829,0.905984313619183,0,1.59590913660547,0.798555384715015,3.45251245063288,2.80062763196108,0.315718295582245,10,14,12,4.69028696977281,12,4.69028696977281,0.529503469602715,0,0.895768679954794,0.0319108934066884,0,0.895768679954794,0,0,0,0,0,0.3984,0.2364,3.45251245063287,0.905984313619183
"KIR",2011,"Both",0.645664206752731,0.412721187641034,0.528814882120861,0.876055299471216,0,1.69611195255829,0.818582835001446,3.3662344932432,2.81289894978499,0.307701218083237,10,14,12,4.62929282122726,12,4.62929282122726,0.53521497534298,0,0.931157915936539,0.032255101256731,0,0.931157915936539,0,0,0,0,0,0.3984,0.2364,3.3662344932432,0.876055299471216
"KIR",2012,"Both",0.60390616834343,0.376498056508325,0.473766415097456,0.742121121101163,0,1.65132092790676,0.769519233675985,2.99049993865839,2.57833397837038,0.274735024427455,10,14,11,4.56621549300984,11,4.56621549300984,0.539299135910661,0,0.98557149818609,0.0354558938428539,0,0.98557149818609,0,0,0,0,0,0.3652,0.2167,2.99049993865839,0.742121121101163
"KIR",2013,"Both",0.631229296033942,0.376999445901788,0.456933977313838,0.710652383725698,0,1.75309793878062,0.792259650654466,2.90072503204261,2.56633331064419,0.26779421415405,10,14,11,4.49228114476341,11,4.49228114476341,0.543974750748792,0,1.01026019050368,0.0357632892980024,0,1.01026019050368,0,0,0,0,0,0.3652,0.2167,2.90072503204261,0.710652383725698
"KIR",2014,"Both",0.607114137848153,0.344003508702609,0.397299943864289,0.58004042419523,0,1.69559478182559,0.743295541999082,2.53646391084067,2.31198529740158,0.236935127584733,10,14,10,4.4086905998163,10,4.4086905998163,0.547267325738059,0,1.0446397596203,0.0395777334029663,0,1.0446397596203,0,0,0,0,0,0.332,0.197,2.53646391084067,0.58004042419523
"KIR",2015,"Both",0.617800647238506,0.340415093131285,0.386572615246117,0.557009964850882,0,1.80580105773389,0.766113153151054,2.45602275886364,2.29667180842947,0.230135682834634,10,14,10,4.32714066249673,10,4.32714066249673,0.543457218520526,0,1.07200822382302,0.0393021909018986,0,1.07200822382302,0,0,0,0,0,0.332,0.197,2.45602275886364,0.557009964850882
"KIR",2016,"Both",0.602602455396775,0.33175315014354,0.383369802901535,0.532941710361303,0,1.92437353854664,0.787993110289246,2.38060690785505,2.28857755777933,0.223059808924573,10,14,10,4.24984585599331,10,4.24984585599331,0.544721957802001,0,1.11978215537145,0.0393936553686235,0,1.11978215537145,0,0,0,0,0,0.332,0.197,2.38060690785505,0.532941710361303
"KIR",2017,"Both",0.570786727559591,0.319767011886938,0.384349501669045,0.508982853124794,0,2.05502364500178,0.813601514418756,2.30492511294361,2.27990373452906,0.216294688720582,10,14,10,4.16053464991584,10,4.16053464991584,0.546365210145837,0,1.13592820840873,0.0395124934576469,0,1.13592820840873,0,0,0,0,0,0.332,0.197,2.30492511294361,0.508982853124794
"KIR",2018,"Both",0.535944462760045,0.3073017333707,0.386673789371324,0.486699927955951,0,2.17970610418924,0.838726932888035,2.23515612096495,2.27124624603806,0.210405577569399,10,14,10,4.07468829551705,10,4.07468829551705,0.548139104892287,0,1.15272014338328,0.0396407794525445,0,1.15272014338328,0,0,0,0,0,0.332,0.197,2.23515612096495,0.486699927955951
"KIR",2019,"Both",0.514776788090579,0.297880801236916,0.385004318426397,0.465139861830101,0,2.29075409081787,0.863614348118809,2.17057083615697,2.25630395758222,0.205865849914013,10,14,10,3.99232017807916,10,3.99232017807916,0.550089147826128,0,1.17027729627561,0.0397818042784883,0,1.17027729627561,0,0,0,0,0,0.332,0.197,2.17057083615697,0.465139861830101
"KIR",2020,"Both",0.555150464444965,0.320932807604223,0.41848023551649,0.532309839142045,0,2.61769335610036,0.979936630455716,2.34235617056745,2.45925816001023,0.223793188332399,10,14,11,3.90599626212695,11,3.90599626212695,0.550089147826128,0,1.17027729627561,0.0361652766168075,0,1.17027729627561,0,0,0,0,0,0.3652,0.2167,2.34235617056744,0.532309839142044
"KIR",2021,"Both",0.549124833901296,0.316044520264435,0.412427767915159,0.515497439845,0,2.69929821238494,1.01182935886821,2.28889556518093,2.43420880424446,0.222584349569459,10,14,11,3.81767258171806,11,3.81767258171806,0.550089147826128,0,1.17027729627561,0.0361652766168075,0,1.17027729627561,0,0,0,0,0,0.3652,0.2167,2.28889556518093,0.515497439844999
"KNA",2000,"Both",0.00759232765402818,0.0350137790034036,0.168775982397211,0.0875427256156476,0,0.331579913176986,0.346908442448,0.143955504590781,0.578308154942988,0.300323170170956,10,14,2,2.07410182477441,2,2.07410182477441,0,0,0,0,0,0,0,0,0,0,0,0.0664,0.0394,0.143955504590781,0.0875427256156476
"KNA",2001,"Both",0.00716007066033268,0.0345290774644496,0.165083320201199,0.0855120315550024,0,0.335927601391894,0.34727057017525,0.139676232042553,0.585454152153524,0.29847565457963,10,14,2,2.0173139512738,2,2.0173139512738,0.000911289776166238,0,0.00791415244793862,0.000345681574719401,0,0.00791415244793862,0,0,0,0,0,0.0664,0.0394,0.139676232042553,0.0855120315550024
"KNA",2002,"Both",0.00680268385671084,0.0341689561699878,0.161415736616843,0.083961516210301,0,0.340227332305956,0.347585303465082,0.135734750267595,0.592747165719632,0.295989620723642,10,14,2,1.96045480351881,2,1.96045480351881,0.00136693466424936,0,0.0118712287775197,0.00051852235800089,0,0.0118712287775197,0,0,0,0,0,0.0664,0.0394,0.135734750267595,0.083961516210301
"KNA",2003,"Both",0.00653443632259222,0.03384986551762,0.157974548034144,0.0836606477565494,0,0.344201318684824,0.34777735442177,0.132344457491248,0.599612866730282,0.293588860152888,10,14,2,1.90720075071882,2,1.90720075071882,0.00045564488808312,0,0.00395707609182059,0.000172840791437915,0,0.00395707609182059,0,0,0,0,0,0.0664,0.0394,0.132344457491248,0.0836606477565494
