"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"BHR",2000,"Both",0.00916600845754894,0.0218483524215195,0.0803160713723822,0.0429629579913152,0,0.159037154984753,0.0857772407813398,0.100763766418369,0.342488695297488,0.157639752275284,10,14,18,1.41488942541723,18,1.41488942541723,0,0,0,0,0,0,0.0206614285714286,0,0,0,0,0.5976,0.3546
"BHR",2001,"Both",0.00936145802934464,0.0222374051447888,0.0788922994800226,0.0432956602237805,0,0.16034045041977,0.0874823325445406,0.0992871762274579,0.345883800307476,0.153219417622819,10,14,18,1.37718364043216,18,1.37718364043216,0,0,0,0,0,0,0.02214,0,0,0,0,0.5976,0.3546
"BHR",2002,"Both",0.00946206319853025,0.0224704401505475,0.0770977954040954,0.0433203997684504,0,0.161906803751833,0.0876202528316368,0.0975426387489077,0.35040145162097,0.150178154525029,10,14,18,1.33671260631774,18,1.33671260631774,0,0,0,0,0,0,0.0218976923076923,0,0,0,0,0.5976,0.3546
"BHR",2003,"Both",0.00957123393621293,0.0226851826091423,0.0750788756664965,0.0432120193380498,0,0.163648882400092,0.0866055943143599,0.0957746135026932,0.355838469299002,0.147585128933951,10,14,18,1.29672227605337,18,1.29672227605337,0,0,0,0,0,0,0.0233325,0,0,0,0,0.5976,0.3546
"BHR",2004,"Both",0.00964529062469275,0.0228547581005955,0.0732361241372911,0.0431242749267409,0,0.16522534152589,0.0860720701281222,0.0940685525505241,0.360773400323669,0.145000187682474,10,14,18,1.25894223220979,18,1.25894223220979,0,0,0,0,0,0,0.022845,0,0,0,0,0.5976,0.3546
"BHR",2005,"Both",0.00973068439243069,0.0230373653227563,0.0711775529987399,0.0428972543585017,0,0.167074796172845,0.0842842013680661,0.0923067802565214,0.366808062387368,0.142683302742771,10,14,18,1.2239015409552,18,1.2239015409552,0,0,0,0,0,0,0.0232513043478261,0,0,0,0,0.5976,0.3546
"BHR",2006,"Both",0.00979948458669716,0.0232158654775139,0.069156668449339,0.0426364471050447,0,0.168960907164176,0.0823144752367727,0.0905414510992351,0.372999129861932,0.140375571019289,10,14,17,1.19181587157435,17,1.19181587157435,0,0,0,0,0,0,0.0223318181818182,0,0,0,0,0.5644,0.3349
"BHR",2007,"Both",0.00985046460647421,0.0233852981094172,0.0672611208828594,0.0423901649465678,0,0.170775244608513,0.0805909507622264,0.0888204575164874,0.37895385013494,0.137972448432515,10,14,17,1.16371582961372,17,1.16371582961372,0,0,0,0,0,0,0.0216827272727273,0,0,0,0,0.5644,0.3349
"BHR",2008,"Both",0.00990114798497045,0.0235544037799734,0.0653010572391999,0.0420713827194697,0,0.172681711185329,0.0782653399175171,0.0870903448613197,0.385451225293409,0.135683387018812,10,14,17,1.13695684208692,17,1.13695684208692,0,0,0,0,0,0,0.0210645454545455,0,0,0,0,0.5644,0.3349
"BHR",2009,"Both",0.00992622352775256,0.0237135579642986,0.0637185758788471,0.0419263371034189,0,0.174213024791044,0.0772571264834126,0.0855428557781195,0.390640470292243,0.133061828180864,10,14,17,1.11252249579785,17,1.11252249579785,0,0,0,0,0,0,0.0225505,0,0,0,0,0.5644,0.3349
