"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"AND",2020,"Both",0.00191215646342494,0.0169066805042314,0.0350301144804931,0.0237582170441446,0,0.220468238191569,0.194038529910092,0.0267102761888266,0.363246861820746,0.117928925396473,10,14,0,0.419706842088585,0,0.419706842088585,0,0,0.02229382686574,0,0,0.02229382686574,0,0,0,0,0,0,0
"AND",2021,"Both",0.00191553721843816,0.0170019387519735,0.0343990403275153,0.0237810971631648,0,0.221841058579321,0.192954102415331,0.0263026696556195,0.366659446823404,0.115145109065233,10,14,0,0.408931955165448,0,0.408931955165448,0,0,0.02229382686574,0,0,0.02229382686574,0,0,0,0,0,0,0
"COK",2007,"Both",0.0112633270418522,0.0195896905008435,0.0387934354013347,0.0283491285518782,0,0.161010276186195,0.209154745495707,0.0334408132853156,0.286025481734462,0.212373101802412,10,14,0,1.43820458124955,0,1.43820458124955,0,0,0.00919582965876502,0,0,0.00919582965876502,0,0,0,0,0,0,0
"COK",2008,"Both",0.00966689542819382,0.0189764531943827,0.0375878086477883,0.0271546111954595,0,0.162073014235687,0.207830565474236,0.0324049274240422,0.289674760392611,0.214630964007599,10,14,0,1.38023275435306,0,1.38023275435306,0,0,0.0164436390952031,0,0,0.0164436390952031,0,0,0,0,0,0,0
"COK",2009,"Both",0.00819363876518854,0.0182984684192703,0.0363858328254416,0.0259265837833479,0,0.163109438248653,0.206379374682622,0.0313373471615092,0.293196103279645,0.217173212834323,10,14,0,1.32751779085793,0,1.32751779085793,0,0,0.0164436390920927,0,0,0.0164436390920927,0,0,0,0,0,0,0
"COK",2010,"Both",0.00699205687705028,0.0176803436037664,0.0352098283130296,0.0247799378149358,0,0.164115597269827,0.204935443072156,0.0303128997057272,0.296714194121548,0.21925969922196,10,14,0,1.28194660523728,0,1.28194660523728,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2011,"Both",0.00612922850699006,0.0171872581709288,0.0340882327136446,0.0238038742802158,0,0.165026454510389,0.203587180202297,0.0293798662114361,0.300189998543966,0.220607906860132,10,14,0,1.23987274858872,0,1.23987274858872,0,0,0.0124276587806044,0,0,0.0124276587806044,0,0,0,0,0,0,0
"COK",2012,"Both",0.00531926481401444,0.0165408964970752,0.0329688713374922,0.0227615823801936,0,0.165761829841808,0.20198523044686,0.0283675564948716,0.303129930317139,0.223164837870546,10,14,0,1.20165701486352,0,1.20165701486352,0,0,0.0124276587780255,0,0,0.0124276587780255,0,0,0,0,0,0,0
"COK",2013,"Both",0.00491685451444527,0.0162290691659191,0.031979676632562,0.0220904544673172,0,0.166432776250677,0.200764744096472,0.0275973819920595,0.30634369129298,0.223645351587568,10,14,0,1.1669804366583,0,1.1669804366583,0,0,0.0164436390798631,0,0,0.0164436390798631,0,0,0,0,0,0,0
"COK",2014,"Both",0.00458545106725177,0.0160086884914344,0.0310399723558024,0.0215038248682563,0,0.167189197916788,0.199675074562518,0.0268998130456212,0.309809726004298,0.223288251688031,10,14,0,1.13361907838228,0,1.13361907838228,0,0,0.0164436390773674,0,0,0.0164436390773674,0,0,0,0,0,0,0
"COK",2015,"Both",0.00420898980152709,0.0157993457062006,0.0301011696477091,0.0208791744034534,0,0.168143209729256,0.198655046610942,0.0262058725480297,0.313643348670452,0.22236384288243,10,14,0,1.103150169117,0,1.103150169117,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2016,"Both",0.00403069667337216,0.0158020349922253,0.0292567283152064,0.0204853041454732,0,0.169079286693595,0.197929009647548,0.0256662373940043,0.317723442451728,0.220027259686847,10,14,0,1.07537188939932,0,1.07537188939932,0,0,0.0164436390745713,0,0,0.0164436390745713,0,0,0,0,0,0,0
"COK",2017,"Both",0.00380895510657346,0.0157297328076937,0.0284059828848263,0.0200244834337728,0,0.170025372476765,0.197121432440994,0.0250812177062976,0.321727799082644,0.218075024060433,10,14,0,1.04639231811121,0,1.04639231811121,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2018,"Both",0.00359612355755169,0.0156517387108433,0.0275642747539799,0.0195576960229116,0,0.170971908220678,0.196295411264369,0.0244954155420943,0.325766420504084,0.216101011423488,10,14,0,1.01920714636305,0,1.01920714636305,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2019,"Both",0.00341198167699294,0.0155807115071503,0.0267416373085104,0.0191082837733102,0,0.171870364760226,0.195427185873542,0.0239219450834846,0.329787998157966,0.214149891858817,10,14,0,0.993787482082009,0,0.993787482082009,0,0,0.0164436390750181,0,0,0.0164436390750181,0,0,0,0,0,0,0
"COK",2020,"Both",0.00330728272228115,0.0155717713301783,0.0260497360098221,0.0188328769774445,0,0.172859556709262,0.194950480479126,0.0234360983061232,0.333614414937396,0.211377782528367,10,14,0,0.968961472979868,0,0.968961472979868,0,0,0.0164436390750181,0,0,0.0164436390750181,0,0,0,0,0,0,0
"COK",2021,"Both",0.00324619610324524,0.0156006378357414,0.0254444317196819,0.01866518281436,0,0.173916760249554,0.19472011740828,0.0230071841362779,0.337320956080494,0.208078533652365,10,14,0,0.946858302244169,0,0.946858302244169,0,0,0.0164436390750181,0,0,0.0164436390750181,0,0,0,0,0,0,0
"MCO",2000,"Both",0.00231092039063504,0.0159565808279921,0.0545548619775528,0.0254191887368957,0,0.180182672682556,0.199024785622911,0.0493666581138071,0.307371273575591,0.16581305807206,10,14,0,0.672281710774825,0,0.672281710774825,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2001,"Both",0.00230179857655092,0.0160364826970327,0.0530510302396044,0.0251279323807258,0,0.181979295141845,0.198549400569882,0.0483559905683478,0.311838422591081,0.16275964723493,10,14,0,0.655365150969978,0,0.655365150969978,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2002,"Both",0.00229095339872088,0.0161007619974714,0.0515124578652618,0.0247848588075873,0,0.183640703834454,0.198162610643777,0.0473696696995068,0.316329845902017,0.159808137851204,10,14,0,0.640077327694777,0,0.640077327694777,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2003,"Both",0.00228086369251219,0.016155018218944,0.0499946687125451,0.0244295890547023,0,0.185088925748653,0.198202033196143,0.0463987112779845,0.320577040587792,0.156873149510724,10,14,0,0.626363094086924,0,0.626363094086924,0,0,0.000417649696775031,0,0,0.000417649696775031,0,0,0,0,0,0,0
"MCO",2004,"Both",0.00227191225032873,0.0161969776648229,0.0484773141778004,0.0240492677381478,0,0.186284959665309,0.198707320542812,0.0454533736381702,0.324593708131769,0.153965166190839,10,14,0,0.613607601901434,0,0.613607601901434,0,0,0.00113445661323322,0,0,0.00113445661323322,0,0,0,0,0,0,0
"MCO",2005,"Both",0.00226974092607181,0.0162458928607031,0.0469797608412324,0.0236774243751061,0,0.187313598957393,0.199406023440988,0.0445271547801471,0.328465922963193,0.151114480855165,10,14,0,0.601835551296892,0,0.601835551296892,0,0,0.0020256167949003,0,0,0.0020256167949003,0,0,0,0,0,0,0
"MCO",2006,"Both",0.0022636794781686,0.0162616828146625,0.0453903107153202,0.023195728845708,0,0.188105129252856,0.199998428446736,0.0436668456653063,0.332568009730504,0.148550185050738,10,14,0,0.590652133937164,0,0.590652133937164,0,0,0.00296187545206743,0,0,0.00296187545206743,0,0,0,0,0,0,0
"MCO",2007,"Both",0.00223724374165999,0.0161673506500351,0.0435343854667265,0.0223980844837071,0,0.188360816550094,0.199946351170523,0.0430246238170287,0.337545109869733,0.146786034250493,10,14,0,0.580094242815465,0,0.580094242815465,0,0,0.00380659671348298,0,0,0.00380659671348298,0,0,0,0,0,0,0
