"ISO3","Year","Sex","Deaths","Rate","Diarrhoeal","HIV","LRI","Malaria","OtherCMPN","TB","Measles","OtherNCD","Congenital","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis"
"TZA",2011,"Both",14160,10.0465538714619,0.0941740033535007,0.0677587627122496,0.0558737959390989,0.0991926236954894,0.144094335762544,0.0685380343860427,0,0.180259787911064,0.0341582384502727,0.0363014374076917,0.041180075690344,0.034861702594095,0.0661491986250289,0.000107117627105491,0.0770288177881878,0.000322068057284546
"TZA",2012,"Both",14664,10.0693562121526,0.0931821102261791,0.0654743516660916,0.0641196373264671,0.0954489758091742,0.152322430511222,0.0617009322770837,0,0.174587808931697,0.0356514942212752,0.0359116426686534,0.0420128053438958,0.0347219776440983,0.0669383541647331,0.000272488074603146,0.0775692218732542,8.57692615718378e-05
"TZA",2013,"Both",15151,10.090877437226,0.092760627615298,0.0624102115868872,0.0749496655393736,0.0930441967079262,0.163923411074744,0.0524981809415717,0,0.166043981385925,0.0370964320693599,0.035287153844369,0.0425659236487125,0.0346946083743859,0.0669388644984153,0.000168532331542119,0.0776182103814903,0
"TZA",2014,"Both",15606,10.1023765788504,0.092367612866914,0.0565496557463984,0.0776761145467256,0.0908856590785422,0.174304830507413,0.05442388393016,0,0.158845777825583,0.0381913594971376,0.0346907981678368,0.0429102402518914,0.0349883847045682,0.0666505349234186,5.15055711172581e-05,0.0772736982095021,0.000189944172792164
"TZA",2015,"Both",15915,10.0543089987035,0.091729275525361,0.049685583562664,0.0823587999587817,0.0879892798683487,0.185127667102615,0.0502791307694253,0,0.156284586960006,0.0384947915826175,0.0344011242571145,0.0432675062920605,0.0359023680342907,0.0663752511041678,3.21021002234193e-05,0.0775862449721382,0.000486287910187464
"TZA",2016,"Both",16150,9.94674793960194,0.0908192242666254,0.0429232296651108,0.0840093873644167,0.0846058703418954,0.192253453840207,0.0462965058164971,0,0.160226106298661,0.0379629920922064,0.0345166689174414,0.0436468384029028,0.0374505950562127,0.0664699838907121,8.56247375319647e-05,0.0784632036287907,0.000270315680788346
"TZA",2017,"Both",16277,9.80921967260702,0.089576035052122,0.0328480246805014,0.0826946492499103,0.081104309013344,0.199422019935903,0.0434532576100553,0,0.168918131837108,0.0369239405663276,0.034807280668047,0.0439577753593936,0.0393961057204944,0.0669378293779941,0.000557197189325679,0.0793459457371518,5.74980023218474e-05
"TZA",2018,"Both",16321,9.61569262405196,0.0886397914168458,0.0263989339532093,0.0814607144181362,0.0781730238082121,0.201930936493796,0.0394289333809573,0,0.179047416071957,0.0356939237213394,0.0351617389770258,0.0445010959856544,0.0415418188016342,0.0672510565955475,8.33515977193499e-05,0.0805632860354868,0.000123978742478085
"TZA",2019,"Both",16373,9.42091037851115,0.0878658164688334,0.0223002390936574,0.0800975365965712,0.0759456088895218,0.201299710437511,0.0354088033687542,0,0.189054855840016,0.0345823889359052,0.0353543608125251,0.045200493114301,0.0435803937386936,0.0675826719791407,0.000146951959508193,0.0815801687650614,0
"TZA",2020,"Both",16412,9.19975022838353,0.0873989669082263,0.0188991985567995,0.0770865446992231,0.0744589337576152,0.199348545514112,0.035325637158688,0,0.196388630111605,0.0337495399897645,0.0353940689913663,0.0460389228009316,0.045289304303494,0.0678344776214392,0.000119324217191627,0.0826679053695436,0
"TZA",2021,"Both",16463,8.96529215673018,0.0872403891132959,0.0207185329249449,0.0747568686806761,0.0734306823354267,0.192882481441947,0.0352174427308967,0,0.201600522925037,0.0330731015238303,0.035413950538222,0.047022564948067,0.0467596717653807,0.0678814077996283,8.41371699220519e-05,0.0839182461027243,0
"UGA",2000,"Both",12248,15.1867079164833,0.144140541913885,0.0561442862742145,0.102602205200318,0.267430476060465,0.246091374264915,0.034888401106707,0,0.0480653122753541,0.0124141864640109,0.0146031867872498,0.00739027320441487,0.0214969655844953,0.0227860969796803,0.00327438397950059,0.0186723099047904,0
"UGA",2001,"Both",12279,14.7361454256805,0.138188077582849,0.0588270744091153,0.104791384892648,0.283697365452801,0.235304045484869,0.0324573411084508,0,0.0463640259872568,0.0127295316843959,0.0137905537871556,0.00780649729912879,0.0227928331639625,0.0236668733678482,0.00031719260491193,0.0191445647999053,0.000122638374701107
"UGA",2002,"Both",12259,14.2787328915364,0.13551000862754,0.0608212071892835,0.10872529372948,0.273479760485574,0.231662513557287,0.0303598052897836,0,0.0474126940864803,0.0135580363291903,0.0137446975952626,0.0086176018761952,0.0244762548769382,0.0255194513845872,0.00538557790582659,0.0205544334709106,0.000172663595660885
"UGA",2003,"Both",12212,13.8247694505245,0.133271703316402,0.0618851617978984,0.110576530852761,0.260050393201994,0.227761135498011,0.0288550667877731,0,0.0502893710440254,0.0144789727528348,0.0142065355163178,0.0096854185140737,0.0260201605385175,0.027628399773971,0.0124258036387661,0.0226126476528904,0.000252699113764125
"UGA",2004,"Both",12146,13.3782406056059,0.132711242321233,0.0632588626234632,0.112491749497704,0.248690221680641,0.227398556861644,0.0286984117081018,0,0.0552209390140646,0.0157429729723928,0.0152425901480047,0.0111139571083309,0.0278305722739943,0.0304193505952211,0.00562327353270217,0.0255572996625022,0
"UGA",2005,"Both",12072,12.9390171651213,0.13113144284442,0.0641123071361537,0.110790655089991,0.237115519628996,0.224856395742977,0.0313577088026705,0,0.0604831379250342,0.0169304873977664,0.0163154898264525,0.0126006068160751,0.0294569114993512,0.0331619646163457,0.00303393910147416,0.0286534335722943,0
"UGA",2006,"Both",12011,12.514457344664,0.128483071905891,0.0652128914489214,0.112045904774306,0.22839475636288,0.221266219478726,0.0309410145205287,0,0.0645412432814303,0.0181325855210095,0.0169477275611103,0.0139834022742319,0.0310516375253615,0.0359383945478454,0.00175852198935857,0.0312716069724652,3.10218359347845e-05
"UGA",2007,"Both",11971,12.1069094502888,0.12512247425471,0.0666337330498701,0.113781098519838,0.222364265692412,0.217205537750986,0.0305386574246812,0,0.0671386452362567,0.0194464079408294,0.0170705496838042,0.015194466595762,0.0325302018835453,0.0388292989628339,0.000689896917403713,0.0331575625533376,0.000297203533730135
"UGA",2008,"Both",11932,11.7133672040695,0.122076285693778,0.0691877232593783,0.118121265680316,0.218558293394684,0.21177050264223,0.0269001388119581,0,0.0686946035444012,0.0207092256064935,0.0168585645785246,0.0162351422100866,0.0337900615236373,0.0415341014672718,0.000707307165659931,0.0343429891736458,0.000513795247933509
