"ISO3","Year","Sex","TB","TBlo","TBup"
"AIA",2020,"Male",0,0,0.167043999812174
"AIA",2021,"Male",0,0,0.167043999812174
"ALB",2000,"Male",0.797294569680744,0.00038950696102269,2.09675985169236
"ALB",2001,"Male",0.714469481827902,0.0693241845145214,1.67201742046289
"ALB",2002,"Male",0.692175275408825,0.0121765620502339,1.78479734199842
"ALB",2003,"Male",0.657833769802738,0,1.81874785516813
"ALB",2004,"Male",0.912401522861573,0,2.53639001074716
"ALB",2005,"Male",0.417129895102962,0,1.26581585067748
"ALB",2006,"Male",0.371320655366226,0,1.18567523965005
"ALB",2007,"Male",0.548119759332363,0,2.50316942813018
"ALB",2008,"Male",0.551122904723514,0,1.95927438957488
"ALB",2009,"Male",0.171472188752145,0,0.670944008111842
"ALB",2010,"Male",0.300794094183105,0,2.11938768787586
"ALB",2011,"Male",0.298811811219881,0,2.1054205715285
"ALB",2012,"Male",0.297331322966002,0,2.09498908819514
"ALB",2013,"Male",0.296280084476703,0,2.0875820880033
"ALB",2014,"Male",0.29551678105649,0,2.08220387113102
"ALB",2015,"Male",0.294926728432633,0,2.0780463750513
"ALB",2016,"Male",0.294508702217874,0,2.07510097276206
"ALB",2017,"Male",0.294278313349696,0,2.07347765853968
"ALB",2018,"Male",0.294131999072917,0,2.07244673179262
"ALB",2019,"Male",0.293946096274945,0,2.07113686531202
"ALB",2020,"Male",0.293946096274945,0,2.07113686531202
"ALB",2021,"Male",0.293946096274945,0,2.07113686531202
"AND",2000,"Male",0.00902390772919633,0,0.102859116157704
"AND",2001,"Male",0.00751992310766361,0,0.085715930451846
"AND",2002,"Male",0.00375996155383181,0,0.0428579652713332
"AND",2003,"Male",0.00827191541842997,0,0.0942875235665106
"AND",2004,"Male",0.00526394617536452,0,0.0600011515713894
"AND",2005,"Male",0.00751992310766361,0,0.0857159307506618
"AND",2006,"Male",0.00902390772919634,0,0.102859116741916
"AND",2007,"Male",0.00375996155383181,0,0.0428579653464178
"AND",2008,"Male",0.00300796924306545,0,0.0342863721533024
"AND",2009,"Male",0.00601593848613089,0,0.0685727447596094
"AND",2010,"Male",0.00526394617536452,0,0.0600011516573394
"AND",2011,"Male",0.00225597693229909,0,0.0257147789213054
"AND",2012,"Male",0.00676793079689725,0,0.0771443377966248
"AND",2013,"Male",0.00375996155383181,0,0.042857965336563
"AND",2014,"Male",0.00451195386459817,0,0.051429558483718
"AND",2015,"Male",0.00300796924306545,0,0.034286372133542
"AND",2016,"Male",0.00300796924306545,0,0.0342863721309914
"AND",2017,"Male",0.000751992310766361,0,0.00857159235793442
"AND",2018,"Male",0.00150398462153272,0,0.0171431856510248
