"ISO3","Year","Sex","Measles","epi_meas"
"BFA",2007,"Both",202.948272641328,-77.1067427951369
"BFA",2008,"Both",185.019871421689,-133.947991081113
"BFA",2009,"Both",168.675260820753,324.721284589403
"BFA",2010,"Both",153.774529159109,213.368506729563
"BFA",2011,"Both",140.190124521191,-12.073028573925
"BFA",2012,"Both",127.805762896744,1124.92800175169
"BFA",2013,"Both",116.515432776787,-56.4867844003222
"BFA",2014,"Both",106.222487683361,-80.4068920565304
"BFA",2015,"Both",96.8388188649472,-10.3355229665097
"BFA",2016,"Both",88.2841010757715,-3.92378766024416
"BFA",2017,"Both",80.4851049828146,40.4967523169901
"BFA",2018,"Both",73.3750703145853,338.282278318227
"BFA",2019,"Both",66.8931343857981,-4.12473991558326
"BFA",2020,"Both",60.9838111060297,39.7808983666265
"BFA",2021,"Both",55.5965160126432,52.9086033110873
"BGD",2000,"Both",4038.34730104498,-604.160533466854
"BGD",2001,"Both",3423.61732078107,-602.796031718575
"BGD",2002,"Both",2902.46347958215,-703.444680754023
"BGD",2003,"Both",2460.64132202315,240.452916258097
"BGD",2004,"Both",2086.07472867136,5215.33103304739
"BGD",2005,"Both",1768.52584513345,-615.883144938133
"BGD",2006,"Both",1499.31525554553,2865.63396320447
"BGD",2007,"Both",1271.08475213826,150.027064267988
"BGD",2008,"Both",1077.59621676799,133.54123440389
"BGD",2009,"Both",913.561117336387,-642.484182521934
"BGD",2010,"Both",774.495958803651,-492.809954164979
"BGD",2011,"Both",656.599737904908,1811.07091639197
"BGD",2012,"Both",556.650052096774,43.9527921415068
"BGD",2013,"Both",471.915023128165,57.2594763835536
"BGD",2014,"Both",400.078627883321,-246.29853755129
"BGD",2015,"Both",339.177395599737,3.36069033776272
"BGD",2016,"Both",287.546741235504,34.3540461180119
"BGD",2017,"Both",243.77546814096,-179.480851441742
"BGD",2018,"Both",206.667196477367,277.638101374195
"BGD",2019,"Both",175.207663123499,892.806130821814
"BGD",2020,"Both",148.536999293738,203.771106175012
"BGD",2021,"Both",125.926228144691,-108.106207469032
"BGR",2000,"Both",1.14784097671509,0
"BGR",2001,"Both",0,0
"BGR",2002,"Both",0,0
"BGR",2003,"Both",0,0
"BGR",2004,"Both",0,0
"BGR",2005,"Both",0,0
"BGR",2006,"Both",0,0
"BGR",2007,"Both",0,0
"BGR",2008,"Both",0,0
"BGR",2009,"Both",0.787931978702545,0
"BGR",2010,"Both",0,0
"BGR",2011,"Both",0,0
"BGR",2012,"Both",0,0
"BGR",2013,"Both",0,0
"BGR",2014,"Both",0,0
"BGR",2015,"Both",0,0
"BGR",2016,"Both",0,0
"BGR",2017,"Both",0,0
"BGR",2018,"Both",0,0
"BGR",2019,"Both",0,0
"BGR",2020,"Both",0,0
"BGR",2021,"Both",0,0
"BHR",2000,"Both",0,0
"BHR",2001,"Both",0,0
"BHR",2002,"Both",0,0
"BHR",2003,"Both",0,0
"BHR",2004,"Both",0,0
"BHR",2005,"Both",0,0
"BHR",2006,"Both",0,0
"BHR",2007,"Both",0,0
"BHR",2008,"Both",0,0
"BHR",2009,"Both",0,0
"BHR",2010,"Both",0,0
"BHR",2011,"Both",0,0
"BHR",2012,"Both",0,0
"BHR",2013,"Both",0,0
"BHR",2014,"Both",0,0
"BHR",2015,"Both",0,0
"BHR",2016,"Both",0,0
"BHR",2017,"Both",0,0
"BHR",2018,"Both",0,0
"BHR",2019,"Both",0,0
"BHR",2020,"Both",0,0
"BHR",2021,"Both",0,0
"BHS",2000,"Both",0,0
"BHS",2001,"Both",0,0
"BHS",2002,"Both",0,0
"BHS",2003,"Both",0,0
"BHS",2004,"Both",0,0
"BHS",2005,"Both",0,0
"BHS",2006,"Both",0,0
"BHS",2007,"Both",0,0
"BHS",2008,"Both",0,0
"BHS",2009,"Both",0,0
"BHS",2010,"Both",0,0
"BHS",2011,"Both",0,0
