"ISO3","Year","Sex","TB","TBlo","TBup"
"SWZ",2006,"Female",16.767623732945,0,158.127648195238
"SWZ",2007,"Female",11.0551059146604,0,60.9689351877048
"SWZ",2008,"Female",8.97612506971893,0,49.5616686684648
"SWZ",2009,"Female",11.0360495432846,0,60.8712969486004
"SWZ",2010,"Female",11.8647942208897,0,65.419171601867
"SWZ",2011,"Female",12.3038338106377,0,67.8155577221724
"SWZ",2012,"Female",11.6723554476063,0,64.3400870853584
"SWZ",2013,"Female",11.0698682921231,0,61.0294381738608
"SWZ",2014,"Female",9.60605313550413,0,52.9876131175634
"SWZ",2015,"Female",7.63897947612645,0,42.1811714211264
"SWZ",2016,"Female",6.81346615966808,0,37.6417156411534
"SWZ",2017,"Female",6.64440984722353,0,36.7102596381254
"SWZ",2018,"Female",7.6560753949256,0,49.980555872059
"SWZ",2019,"Female",5.09887668010203,0,33.0767880921194
"SWZ",2020,"Female",5.09887668010203,0,33.0767880921194
"SWZ",2021,"Female",5.09887668010203,0,33.0767880921194
"SYC",2000,"Female",0.0560424994848764,0.0305741447669779,0.0827822687486861
"SYC",2001,"Female",0.0630134889571046,0.0364526641645624,0.0895743137496469
"SYC",2002,"Female",0.109525573046207,0.0951955087240536,0.12385563736836
"SYC",2003,"Female",0,0,0
"SYC",2004,"Female",0,0,0
"SYC",2005,"Female",0.0534471810004374,0.0481740977556232,0.0587202642452514
"SYC",2006,"Female",0.0276532387800525,0.0258711898752701,0.0294352876848347
"SYC",2007,"Female",0.0301999720972802,0.0214897902234891,0.0389101539710713
"SYC",2008,"Female",0.0586873270050997,0.0468799946429615,0.0704946593672379
"SYC",2009,"Female",0.0585993786226736,0.0470722396986811,0.0701265175466661
"SYC",2010,"Female",0,0,0
"SYC",2011,"Female",0.029238314134331,0.0236696211053944,0.0348070071632676
"SYC",2012,"Female",0,0,0
"SYC",2013,"Female",0.0583905206701911,0.0475256256351919,0.0692554157051903
"SYC",2014,"Female",0,0,0
