"ISO3","Year","Sex","epi_colvio","epi_natdis","CollectVio","NatDis"
"BGD",2016,"Male",0,0,4.42795848846436,10.6713829040527
"BGD",2017,"Male",0,0,2.05454802513123,12.4009571075439
"BGD",2018,"Male",0,0,3.32476711273193,3.66960000991821
"BGD",2019,"Male",0,0,5.88951444625854,10.8383626937866
"BGD",2020,"Male",0,0,4.68781566619873,9.98613834381104
"BGD",2021,"Male",0,0,5.71494340896606,0.888118624687195
"BGR",2000,"Male",0,0,0,0
"BGR",2001,"Male",0,0,0,0
"BGR",2002,"Male",0,0,0,0
"BGR",2003,"Male",0,0,0,0
"BGR",2004,"Male",0,0,0,0
"BGR",2005,"Male",0,0,0,0
"BGR",2006,"Male",0,0,0,0
"BGR",2007,"Male",0,0,0,0
"BGR",2008,"Male",0,0,0,0
"BGR",2009,"Male",0,0,0,0
"BGR",2010,"Male",0,0,0,0
"BGR",2011,"Male",0,0,0,0
"BGR",2012,"Male",0,0,0,0
"BGR",2013,"Male",0,0,0,0
"BGR",2014,"Male",0,0,0,0
"BGR",2015,"Male",0,0,0,0
"BGR",2016,"Male",0,0,0,0
"BGR",2017,"Male",0,0,0,0
"BGR",2018,"Male",0,0,0,0
"BGR",2019,"Male",0,0,0,0
"BGR",2020,"Male",0,0,0,0
"BGR",2021,"Male",0,0,0,0
"BHR",2000,"Male",0,0,0,0
"BHR",2001,"Male",0,0,0,0
"BHR",2002,"Male",0,0,0,0
"BHR",2003,"Male",0,0,0,0
"BHR",2004,"Male",0,0,0,0
"BHR",2005,"Male",0,0,0,0
"BHR",2006,"Male",0,0,0,0
"BHR",2007,"Male",0,0,0,0
"BHR",2008,"Male",0,0,0,0
"BHR",2009,"Male",0,0,0,0
"BHR",2010,"Male",0,0,0,0
"BHR",2011,"Male",0,0,0,0
"BHR",2012,"Male",0,0,0,0
"BHR",2013,"Male",0,0,0,0
"BHR",2014,"Male",0,0,0,0
"BHR",2015,"Male",0,0,0,0
"BHR",2016,"Male",0,0,0,0
"BHR",2017,"Male",0,0,0,0
"BHR",2018,"Male",0,0,0,0
"BHR",2019,"Male",0,0,0,0
"BHR",2020,"Male",0,0,0,0
"BHR",2021,"Male",0,0,0,0
"BHS",2000,"Male",0,0,0,0
"BHS",2001,"Male",0,0,0,0
"BHS",2002,"Male",0,0,0,0
"BHS",2003,"Male",0,0,0,0
"BHS",2004,"Male",0,0,0,0
"BHS",2005,"Male",0,0,0,0
"BHS",2006,"Male",0,0,0,0
"BHS",2007,"Male",0,0,0,0
"BHS",2008,"Male",0,0,0,0
"BHS",2009,"Male",0,0,0,0
"BHS",2010,"Male",0,0,0,0
"BHS",2011,"Male",0,0,0,0
"BHS",2012,"Male",0,0,0,0
"BHS",2013,"Male",0,0,0,0
"BHS",2014,"Male",0,0,0,0
"BHS",2015,"Male",0,0,0,0
"BHS",2016,"Male",0,0,0,0
"BHS",2017,"Male",0,0,0,0
"BHS",2018,"Male",0,0,0,0
"BHS",2019,"Male",0,0,0,0
"BHS",2020,"Male",0,0,0,0
"BHS",2021,"Male",0,0,0,0
"BIH",2000,"Male",0,0,0,0
"BIH",2001,"Male",0,0,0,0
"BIH",2002,"Male",0,0,0,0
"BIH",2003,"Male",0,0,0,0
"BIH",2004,"Male",0,0,0,0
"BIH",2005,"Male",0,0,0,0
"BIH",2006,"Male",0,0,0,0
"BIH",2007,"Male",0,0,0,0
"BIH",2008,"Male",0,0,0,0
"BIH",2009,"Male",0,0,0,0
"BIH",2010,"Male",0,0,0,0
"BIH",2011,"Male",0,0,0,0
"BIH",2012,"Male",0,0,0,0
"BIH",2013,"Male",0,0,0,0
"BIH",2014,"Male",0,0,0,0
"BIH",2015,"Male",0,0,0,0
"BIH",2016,"Male",0,0,0,0
"BIH",2017,"Male",0,0,0,0
"BIH",2018,"Male",0,0,0,0
"BIH",2019,"Male",0,0,0,0
"BIH",2020,"Male",0,0,0,0
"BIH",2021,"Male",0,0,0,0
"BLR",2000,"Male",0,0,0,0
"BLR",2001,"Male",0,0,0,0
"BLR",2002,"Male",0,0,0,0
"BLR",2003,"Male",0,0,0,0
"BLR",2004,"Male",0,0,0,0
"BLR",2005,"Male",0,0,0,0
"BLR",2006,"Male",0,0,0,0
"BLR",2007,"Male",0,0,0,0
"BLR",2008,"Male",0,0,0,0
"BLR",2009,"Male",0,0,0,0
"BLR",2010,"Male",0,0,0,0
"BLR",2011,"Male",0,0,0,0
"BLR",2012,"Male",0,0,0,0
"BLR",2013,"Male",0,0,0,0
"BLR",2014,"Male",0,0,0,0
"BLR",2015,"Male",0,0,0,0
"BLR",2016,"Male",0,0,0,0
"BLR",2017,"Male",0,0,0,0
"BLR",2018,"Male",0,0,0,0
"BLR",2019,"Male",0,0,0,0
"BLR",2020,"Male",0,0,0,0
